|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__individual_fps__004,|__individual_fps__005,|__individual_fps__006,|__individual_fps__007,|__individual_fps__008,|__individual_fps__009,|__individual_fps__010,|__individual_fps__011,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,15.794379,97,2.386117512,2.565794178,6.035026227,5.454447094,12.8473621,14.24716945,13.78722017,13.95418873,13.94059954,12.14964021,,6.141425378,10,1650775142,1650775146,4.190894842,10,1650775146,1650775146,2.38E-07,19788,39.96238339,0.022656113,0.387024164
1,,,,,,,,,,,,,,,10,1650775151,1650775155,3.897425652,10,1650775155,1650775155,4.77E-07,19788,,,
1,,,,,,,,,,,,,,,10,1650775158,1650775159,1.656989574,10,1650775159,1650775159,2.38E-07,19788,,,
1,,,,,,,,,,,,,,,10,1650775161,1650775162,1.833362579,10,1650775162,1650775162,2.38E-07,19788,,,
1,,,,,,,,,,,,,,,10,1650775164,1650775164,0.778366804,10,1650775164,1650775164,2.38E-07,19788,,,
1,,,,,,,,,,,,,,,10,1650775166,1650775166,0.701890945,10,1650775166,1650775166,0,19788,,,
1,,,,,,,,,,,,,,,10,1650775168,1650775168,0.725306749,10,1650775168,1650775168,2.38E-07,19788,,,
1,,,,,,,,,,,,,,,10,1650775169,1650775170,0.71662879,10,1650775170,1650775170,2.38E-07,19788,,,
1,,,,,,,,,,,,,,,10,1650775171,1650775172,0.717327356,10,1650775172,1650775172,2.38E-07,19788,,,
1,,,,,,,,,,,,,,,7,1650775173,1650775174,0.576146603,7,1650775174,1650775174,2.38E-07,19788,,,
2,9.633957386,96,9.705597391,11.00876149,10.02301973,10.51924539,8.735670966,10.32687077,10.39000571,10.41671282,11.15294596,7.364201001,,9.964752402,10,1650775305,1650775306,1.030330658,10,1650775306,1650775306,4.77E-07,25920,37.61976347,0.025931917,0.184820816
2,,,,,,,,,,,,,,,10,1650775308,1650775309,0.908364296,10,1650775309,1650775309,0,25920,,,
2,,,,,,,,,,,,,,,10,1650775310,1650775311,0.997699976,10,1650775311,1650775311,0,25920,,,
2,,,,,,,,,,,,,,,10,1650775312,1650775313,0.950636387,10,1650775313,1650775313,2.38E-07,25920,,,
2,,,,,,,,,,,,,,,10,1650775315,1650775316,1.144729137,10,1650775316,1650775316,2.38E-07,25920,,,
2,,,,,,,,,,,,,,,10,1650775317,1650775318,0.968343735,10,1650775318,1650775318,2.38E-07,25920,,,
2,,,,,,,,,,,,,,,10,1650775319,1650775320,0.962461233,10,1650775320,1650775320,0,25920,,,
2,,,,,,,,,,,,,,,10,1650775322,1650775323,0.959991693,10,1650775323,1650775323,4.77E-07,25920,,,
2,,,,,,,,,,,,,,,10,1650775324,1650775325,0.896621466,10,1650775325,1650775325,2.38E-07,25920,,,
