|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__individual_fps__004,|__individual_fps__005,|__individual_fps__006,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,9.602166176,97,4.419368983,13.05393383,15.96614843,16.02796934,16.28260412,,10.10188724,20,1650776269,1650776274,4.52552247,20,1650776274,1650776274,2.38E-07,19788,39.93908166,0.02287937,0.391544193
1,,,,,,,,,,20,1650776283,1650776284,1.532101393,20,1650776284,1650776284,2.38E-07,19788,,,
1,,,,,,,,,,20,1650776288,1650776289,1.252647638,20,1650776289,1650776289,4.77E-07,19788,,,
1,,,,,,,,,,20,1650776291,1650776293,1.247815847,20,1650776293,1650776293,2.38E-07,19788,,,
1,,,,,,,,,,17,1650776295,1650776296,1.044055939,17,1650776296,1650776296,4.77E-07,19788,,,
2,8.082161903,96,12.05665296,12.42804059,11.40414429,11.97566267,11.50863488,,11.87801001,20,1650776434,1650776436,1.65883255,20,1650776436,1650776436,2.38E-07,25920,37.52821022,0.026307866,0.18128407
2,,,,,,,,,,20,1650776439,1650776440,1.609261751,20,1650776440,1650776440,2.38E-07,25920,,,
2,,,,,,,,,,20,1650776443,1650776445,1.753745794,20,1650776445,1650776445,0,25920,,,
2,,,,,,,,,,20,1650776447,1650776449,1.670050621,20,1650776449,1650776449,0,25920,,,
2,,,,,,,,,,16,1650776452,1650776453,1.390253067,16,1650776453,1650776453,2.38E-07,25920,,,
3,8.217804432,96,12.03253828,12.27341872,11.8527528,11.41752261,10.75961748,,11.68195237,20,1650776631,1650776632,1.662157297,20,1650776632,1650776632,2.38E-07,25920,37.85602883,0.026459187,0.143572956
3,,,,,,,,,,20,1650776635,1650776637,1.629535198,20,1650776637,1650776637,0,25920,,,
3,,,,,,,,,,20,1650776640,1650776642,1.687369347,20,1650776642,1650776642,2.38E-07,25920,,,
3,,,,,,,,,,20,1650776645,1650776647,1.751690626,20,1650776647,1650776647,0,25920,,,
3,,,,,,,,,,16,1650776650,1650776651,1.487039089,16,1650776651,1650776651,4.77E-07,25920,,,
4,8.359688044,101,12.16375979,11.62082237,12.44147975,11.75215125,12.43579345,13.01944083,12.08179055,20,1650776842,1650776844,1.644225597,20,1650776844,1650776844,4.77E-07,27270,37.38544092,0.02492011,0.172383368
4,,,,,,,,,,20,1650776847,1650776849,1.721042871,20,1650776849,1650776849,2.38E-07,27270,,,
4,,,,,,,,,,20,1650776852,1650776853,1.607523441,20,1650776853,1650776853,0,27270,,,
4,,,,,,,,,,20,1650776856,1650776858,1.701813698,20,1650776858,1650776858,4.77E-07,27270,,,
4,,,,,,,,,,20,1650776861,1650776862,1.608258486,20,1650776862,1650776862,2.38E-07,27270,,,
4,,,,,,,,,,1,1650776865,1650776865,0.07680583,1,1650776865,1650776865,0,27270,,,
5,8.343169451,101,12.50131218,11.3139969,13.14891493,12.11730516,11.55717355,13.60201583,12.10571122,20,1650777047,1650777049,1.599830389,20,1650777049,1650777049,4.77E-07,27270,42.02574585,0.013073413,0.461961389
5,,,,,,,,,,20,1650777052,1650777053,1.767719507,20,1650777053,1650777053,2.38E-07,27270,,,
5,,,,,,,,,,20,1650777056,1650777058,1.521035194,20,1650777058,1650777058,2.38E-07,27270,,,
5,,,,,,,,,,20,1650777061,1650777062,1.650529861,20,1650777062,1650777062,0,27270,,,
5,,,,,,,,,,20,1650777065,1650777067,1.73052454,20,1650777067,1650777067,0,27270,,,
5,,,,,,,,,,1,1650777070,1650777070,0.073514938,1,1650777070,1650777070,7.15E-07,27270,,,
6,1.652134657,97,56.58943187,59.20349267,59.95083073,59.45361636,58.44124375,,58.71192133,20,1650777239,1650777240,0.353420496,20,1650777240,1650777240,2.38E-07,9894,38.85992109,0.03730445,0.365880489
6,,,,,,,,,,20,1650777240,1650777241,0.337815046,20,1650777241,1650777241,2.38E-07,9894,,,
6,,,,,,,,,,20,1650777241,1650777242,0.333605051,20,1650777242,1650777242,0,9894,,,
6,,,,,,,,,,20,1650777243,1650777243,0.336394787,20,1650777243,1650777243,2.38E-07,9894,,,
6,,,,,,,,,,17,1650777244,1650777244,0.290888548,17,1650777244,1650777244,2.38E-07,9894,,,
