|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__individual_fps__004,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,12.66353464,97,3.868222156,11.56587808,17.4599077,11.74546066,7.659788736,30,1650777395,1650777403,7.755498409,30,1650777403,1650777403,2.38E-07,19788,39.95390256,0.022812365,0.390669376
1,,,,,,,,30,1650777410,1650777413,2.5938344,30,1650777413,1650777413,4.77E-07,19788,,,
1,,,,,,,,30,1650777417,1650777418,1.718219757,30,1650777418,1650777418,2.38E-07,19788,,,
1,,,,,,,,7,1650777422,1650777422,0.5959723,7,1650777422,1650777422,2.38E-07,19788,,,
2,8.138198614,96,12.81058427,10.27795684,13.982525,8.196925627,11.7962223,30,1650777560,1650777562,2.341808796,30,1650777562,1650777562,4.77E-07,25920,37.45700324,0.026899016,0.180027351
2,,,,,,,,30,1650777566,1650777569,2.918864727,30,1650777569,1650777569,2.38E-07,25920,,,
2,,,,,,,,30,1650777573,1650777575,2.145531654,30,1650777575,1650777575,4.77E-07,25920,,,
2,,,,,,,,6,1650777579,1650777580,0.731979847,6,1650777580,1650777580,0,25920,,,
3,7.842395306,96,13.64690673,11.44242907,13.22157905,7.965418586,12.241158,30,1650777758,1650777760,2.198298693,30,1650777760,1650777760,2.38E-07,25920,37.79869663,0.027321747,0.143927962
3,,,,,,,,30,1650777764,1650777767,2.621818304,30,1650777767,1650777767,2.38E-07,25920,,,
3,,,,,,,,30,1650777772,1650777774,2.269015551,30,1650777774,1650777774,0,25920,,,
3,,,,,,,,6,1650777778,1650777779,0.753252745,6,1650777779,1650777779,4.77E-07,25920,,,
4,8.968557119,101,12.04755365,10.57663978,12.47114065,8.896569783,11.26156623,30,1650777957,1650777960,2.490129471,30,1650777960,1650777960,2.38E-07,27270,37.36748021,0.024367491,0.171822324
4,,,,,,,,30,1650777964,1650777967,2.836436033,30,1650777967,1650777967,4.77E-07,27270,,,
4,,,,,,,,30,1650777971,1650777974,2.405550241,30,1650777974,1650777974,2.38E-07,27270,,,
4,,,,,,,,11,1650777978,1650777979,1.236428976,11,1650777979,1650777979,2.38E-07,27270,,,
5,8.452329636,101,12.73590976,10.44072914,13.58858262,10.83010821,11.94936832,30,1650778154,1650778156,2.355541945,30,1650778156,1650778156,2.38E-07,27270,41.87746653,0.013725013,0.468419433
5,,,,,,,,30,1650778161,1650778164,2.873359919,30,1650778164,1650778164,0,27270,,,
5,,,,,,,,30,1650778168,1650778170,2.207732677,30,1650778170,1650778170,2.38E-07,27270,,,
5,,,,,,,,11,1650778175,1650778176,1.015683651,11,1650778176,1650778176,0,27270,,,
6,1.594759703,97,61.24054958,63.74422293,64.40571328,41.55285866,60.82421059,30,1650778349,1650778350,0.489868164,30,1650778350,1650778350,2.38E-07,9894,38.89400991,0.036838159,0.36489746
6,,,,,,,,30,1650778351,1650778351,0.470628738,30,1650778351,1650778351,0,9894,,,
6,,,,,,,,30,1650778352,1650778353,0.465795279,30,1650778353,1650778353,2.38E-07,9894,,,
6,,,,,,,,7,1650778354,1650778354,0.168457747,7,1650778354,1650778354,2.38E-07,9894,,,
7,1.962017059,96,49.02854765,52.10762165,51.78125385,30.76341126,48.92923818,30,1650778385,1650778385,0.611886501,30,1650778385,1650778385,4.77E-07,12960,36.50278003,0.055132341,0.177658483
7,,,,,,,,30,1650778387,1650778387,0.575728416,30,1650778387,1650778387,4.77E-07,12960,,,
7,,,,,,,,30,1650778388,1650778389,0.579358339,30,1650778389,1650778389,0,12960,,,
7,,,,,,,,6,1650778390,1650778391,0.195034981,6,1650778391,1650778391,2.38E-07,12960,,,
8,1.079178095,96,87.74272368,95.45924007,94.29442428,57.226399,88.95658692,30,1650778430,1650778431,0.341907024,30,1650778431,1650778431,2.38E-07,8640,32.81740516,0.07048364,0.334416509
8,,,,,,,,30,1650778431,1650778432,0.314267874,30,1650778432,1650778432,0,8640,,,
8,,,,,,,,30,1650778432,1650778433,0.318150759,30,1650778433,1650778433,2.38E-07,8640,,,
8,,,,,,,,6,1650778433,1650778434,0.104844809,6,1650778434,1650778434,0,8640,,,
9,0.866030455,101,120.5892748,121.6236185,119.1300783,92.62071901,116.6240742,30,1650778452,1650778452,0.248776197,30,1650778452,1650778452,2.38E-07,6868,32.25949121,0.066319019,0.154394433
9,,,,,,,,30,1650778453,1650778453,0.246659994,30,1650778453,1650778453,2.38E-07,6868,,,
9,,,,,,,,30,1650778454,1650778454,0.25182128,30,1650778454,1650778454,2.38E-07,6868,,,
9,,,,,,,,11,1650778455,1650778455,0.118761539,11,1650778455,1650778455,2.38E-07,6868,,,
