|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,15.35436034,97,3.645302014,11.88406762,16.74082342,6.317423705,40,1650778504,1650778515,10.97302485,40,1650778515,1650778515,2.38E-07,19788,39.95117875,0.022889182,0.390972853
1,,,,,,,40,1650778523,1650778527,3.365847111,40,1650778527,1650778527,7.15E-07,19788,,,
1,,,,,,,17,1650778531,1650778532,1.015471935,17,1650778532,1650778532,2.38E-07,19788,,,
2,8.654265165,96,12.73719639,9.745400691,11.35270007,11.09279623,40,1650778655,1650778658,3.14040637,40,1650778658,1650778658,2.38E-07,25920,37.46258778,0.026746517,0.179325759
2,,,,,,,40,1650778664,1650778668,4.104497433,40,1650778668,1650778668,2.38E-07,25920,,,
2,,,,,,,16,1650778673,1650778675,1.409353256,16,1650778675,1650778675,2.38E-07,25920,,,
3,9.763113499,96,13.52266704,9.720632604,5.947604713,9.83292881,40,1650778830,1650778833,2.957994223,40,1650778833,1650778833,2.38E-07,25920,37.8402854,0.027339973,0.142675415
3,,,,,,,40,1650778838,1650778843,4.114954948,40,1650778843,1650778843,4.77E-07,25920,,,
3,,,,,,,16,1650778848,1650778851,2.690155268,16,1650778851,1650778851,0,25920,,,
4,8.012689352,101,13.07569982,12.29928495,12.34308065,12.60500633,40,1650779009,1650779012,3.059107065,40,1650779012,1650779012,0,27270,37.15230169,0.025584061,0.171725765
4,,,,,,,40,1650779018,1650779021,3.252218485,40,1650779021,1650779021,2.38E-07,27270,,,
4,,,,,,,21,1650779027,1650779028,1.701355219,21,1650779028,1650779028,4.77E-07,27270,,,
5,8.221043587,101,11.92272734,12.38216065,12.83891258,12.28554489,40,1650779193,1650779196,3.354934454,40,1650779196,1650779196,0,27270,41.87942819,0.013554981,0.471625715
5,,,,,,,40,1650779202,1650779205,3.230450869,40,1650779205,1650779205,2.38E-07,27270,,,
5,,,,,,,21,1650779211,1650779213,1.635650158,21,1650779213,1650779213,0,27270,,,
6,1.501963377,97,65.74306497,66.95259664,57.4137025,64.58213395,40,1650779375,1650779376,0.608426332,40,1650779376,1650779376,7.15E-07,9894,38.8578523,0.037300646,0.365935177
6,,,,,,,40,1650779377,1650779378,0.597434998,40,1650779378,1650779378,2.38E-07,9894,,,
6,,,,,,,17,1650779379,1650779380,0.296094894,17,1650779380,1650779380,0,9894,,,
7,1.929301739,96,51.20020313,52.12478221,42.03164797,49.7589351,40,1650779411,1650779412,0.781244755,40,1650779412,1650779412,0,12960,36.56291819,0.055305462,0.186175436
7,,,,,,,40,1650779413,1650779414,0.767387152,40,1650779414,1650779414,0,12960,,,
7,,,,,,,16,1650779416,1650779416,0.380663157,16,1650779416,1650779416,2.38E-07,12960,,,
8,1.025957346,96,91.99553216,99.83359893,83.99527386,93.57114151,40,1650779456,1650779457,0.434801579,40,1650779457,1650779457,0,8640,32.86423985,0.069642834,0.33022511
8,,,,,,,40,1650779458,1650779458,0.400664568,40,1650779458,1650779458,0,8640,,,
8,,,,,,,16,1650779459,1650779459,0.190485001,16,1650779459,1650779459,2.38E-07,8640,,,
9,0.822003603,101,124.104869,126.7020656,114.1339747,122.8705077,40,1650779478,1650779479,0.322306633,40,1650779479,1650779479,0,6868,31.97544273,0.072427496,0.154005051
9,,,,,,,40,1650779479,1650779480,0.3156991,40,1650779480,1650779480,2.38E-07,6868,,,
9,,,,,,,21,1650779480,1650779481,0.183991909,21,1650779481,1650779481,2.38E-07,6868,,,
