|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,15.22927547,97,5.672874107,15.08327225,6.369311542,80,1650781575,1650781589,14.10218883,80,1650781589,1650781589,2.38E-07,19788,39.97023296,0.02276187,0.389937848
1,,,,,,17,1650781600,1650781601,1.127073765,17,1650781601,1650781601,2.38E-07,19788,,,
2,8.868855476,96,10.64574661,11.81581663,10.82439558,80,1650781722,1650781729,7.514736652,80,1650781729,1650781729,2.38E-07,25920,37.42369936,0.02691477,0.178800464
2,,,,,,16,1650781740,1650781741,1.354114294,16,1650781741,1650781741,2.38E-07,25920,,,
3,7.893418074,96,12.11269695,12.41485827,12.16203159,80,1650781895,1650781902,6.604637146,80,1650781902,1650781902,4.77E-07,25920,37.81316232,0.027452806,0.142292872
3,,,,,,16,1650781914,1650781915,1.288775206,16,1650781915,1650781915,2.38E-07,25920,,,
4,7.751449585,101,12.89021587,13.59054406,13.02982092,80,1650782072,1650782079,6.206255436,80,1650782079,1650782079,2.38E-07,27270,37.02684939,0.026010785,0.171930537
4,,,,,,21,1650782090,1650782092,1.545189142,21,1650782092,1650782092,0,27270,,,
5,8.628867865,101,11.38465771,13.10970294,11.70489589,80,1650782254,1650782261,7.026998997,80,1650782261,1650782261,2.38E-07,27270,41.72151166,0.014072175,0.483358264
5,,,,,,21,1650782273,1650782275,1.601863861,21,1650782275,1650782275,2.38E-07,27270,,,
6,1.502354383,97,69.04748255,49.45722106,64.56532564,80,1650782436,1650782437,1.158620596,80,1650782437,1650782437,2.38E-07,9894,38.8864429,0.037087567,0.364210159
6,,,,,,17,1650782440,1650782440,0.343729496,17,1650782440,1650782440,2.38E-07,9894,,,
7,1.825644732,96,55.88623698,40.59210923,52.58416292,80,1650782472,1650782473,1.431477785,80,1650782473,1650782473,2.38E-07,12960,36.48938438,0.056528628,0.185013384
7,,,,,,16,1650782477,1650782477,0.394163132,16,1650782477,1650782477,0,12960,,,
8,1.002770424,96,101.0462005,75.81020806,95.73477409,80,1650782517,1650782518,0.791714668,80,1650782518,1650782518,2.38E-07,8640,32.83541918,0.069684424,0.330131501
8,,,,,,16,1650782520,1650782520,0.211051226,16,1650782520,1650782520,2.38E-07,8640,,,
9,0.780472994,101,136.0321245,109.1608777,129.4087057,80,1650782539,1650782540,0.588094234,80,1650782540,1650782540,2.38E-07,6868,31.38631378,0.094201475,0.163206875
9,,,,,,21,1650782541,1650782541,0.192374706,21,1650782541,1650782541,0,6868,,,
