|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__individual_fps__004,|__individual_fps__005,|__individual_fps__006,|__individual_fps__007,|__individual_fps__008,|__individual_fps__009,|__individual_fps__010,|__individual_fps__011,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,11.04716754,101,7.576915747,8.863672481,10.24262567,9.403387754,8.986946303,8.248977557,10.14896409,10.34698367,9.749980183,8.901815465,7.48409522,9.142615031,10,1650771079,1650771080,1.319783688,10,1650771080,1650771080,4.77E-07,27270,39.29951473,0.027202494,0.047771148
1,,,,,,,,,,,,,,,10,1650771082,1650771083,1.128196478,10,1650771083,1650771083,7.15E-07,,,,
1,,,,,,,,,,,,,,,10,1650771084,1650771085,0.976309299,10,1650771085,1650771085,2.38E-07,,,,
1,,,,,,,,,,,,,,,10,1650771087,1650771088,1.063443899,10,1650771088,1650771088,0,,,,
1,,,,,,,,,,,,,,,10,1650771089,1650771090,1.112722635,10,1650771090,1650771090,2.38E-07,,,,
1,,,,,,,,,,,,,,,10,1650771092,1650771093,1.212268829,10,1650771093,1650771093,2.38E-07,,,,
1,,,,,,,,,,,,,,,10,1650771095,1650771096,0.985319376,10,1650771096,1650771096,2.38E-07,,,,
1,,,,,,,,,,,,,,,10,1650771097,1650771098,0.966461897,10,1650771098,1650771098,2.38E-07,,,,
1,,,,,,,,,,,,,,,10,1650771100,1650771101,1.025640726,10,1650771101,1650771101,4.77E-07,,,,
1,,,,,,,,,,,,,,,10,1650771102,1650771103,1.123363018,10,1650771103,1650771103,2.38E-07,,,,
1,,,,,,,,,,,,,,,1,1650771105,1650771105,0.133614063,1,1650771105,1650771105,2.38E-07,,,,
vid2,2.426319838,90,34.70195629,37.69991461,38.0353284,38.34725614,34.84445744,37.76434023,38.05261659,36.93563855,37.89518954,,,37.0932136,10,1650771270,1650771270,0.288165808,10,1650771270,1650771270,2.38E-07,14040,35.56818652,0.034656283,0.172096908
vid2,,,,,,,,,,,,,,,10,1650771271,1650771271,0.265249968,10,1650771271,1650771271,2.38E-07,,,,
vid2,,,,,,,,,,,,,,,10,1650771271,1650771272,0.262911558,10,1650771272,1650771272,0,,,,
vid2,,,,,,,,,,,,,,,10,1650771272,1650771273,0.260772228,10,1650771273,1650771273,2.38E-07,,,,
vid2,,,,,,,,,,,,,,,10,1650771273,1650771273,0.286987543,10,1650771273,1650771273,2.38E-07,,,,
vid2,,,,,,,,,,,,,,,10,1650771274,1650771274,0.264797688,10,1650771274,1650771274,0,,,,
vid2,,,,,,,,,,,,,,,10,1650771275,1650771275,0.262791395,10,1650771275,1650771275,0,,,,
vid2,,,,,,,,,,,,,,,10,1650771275,1650771276,0.270738602,10,1650771276,1650771276,2.38E-07,,,,
vid2,,,,,,,,,,,,,,,10,1650771276,1650771276,0.263883352,10,1650771276,1650771276,2.38E-07,,,,
