|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__individual_fps__004,|__individual_fps__005,|__individual_fps__006,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,8.694545269,101,10.35504567,12.12835286,10.38338502,12.97121505,12.70908975,13.81509405,11.61647871,20,1650771341,1650771343,1.931414604,20,1650771343,1650771343,7.15E-07,27270,39.19874469,0.031503316,0.047080692
1,,,,,,,,,,20,1650771346,1650771347,1.649024725,20,1650771347,1650771347,4.77E-07,,,,
1,,,,,,,,,,20,1650771350,1650771352,1.926151276,20,1650771352,1650771352,2.38E-07,,,,
1,,,,,,,,,,20,1650771355,1650771357,1.54187274,20,1650771357,1650771357,2.38E-07,,,,
1,,,,,,,,,,20,1650771359,1650771361,1.573673964,20,1650771361,1650771361,0,,,,
1,,,,,,,,,,1,1650771364,1650771364,0.072381258,1,1650771364,1650771364,0,,,,
vid2,2.004890442,90,44.24417979,47.74767739,45.83703351,46.62827209,37.21175182,,44.89023346,20,1650771542,1650771543,0.452035189,20,1650771543,1650771543,2.38E-07,14040,35.45638071,0.035969026,0.174316123
vid2,,,,,,,,,,20,1650771544,1650771544,0.418866158,20,1650771544,1650771544,0,,,,
vid2,,,,,,,,,,20,1650771545,1650771546,0.436326265,20,1650771546,1650771546,2.38E-07,,,,
vid2,,,,,,,,,,20,1650771547,1650771547,0.428922653,20,1650771547,1650771547,2.38E-07,,,,
vid2,,,,,,,,,,10,1650771548,1650771548,0.268729687,10,1650771548,1650771548,0,,,,
