|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__individual_fps__004,|__individual_fps__005,|__individual_fps__006,|__individual_fps__007,|__individual_fps__008,|__individual_fps__009,|__individual_fps__010,|__individual_fps__011,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,12.92341876,97,2.449232618,6.109923157,6.08847831,11.85658585,11.79356294,11.36538389,11.83220587,11.43630258,11.62284952,17.06287783,,7.505753841,10,1650345331,1650345333,2.030250788,10,1650345333,1650345335,2.052657604,19788,33.98030056,0.075087443,2.016321898
1,,,,,,,,,,,,,,,10,1650345339,1650345340,1.151646614,10,1650345340,1650345341,0.485031843,19788,,,
1,,,,,,,,,,,,,,,10,1650345342,1650345343,1.2911973,10,1650345343,1650345344,0.351246119,19788,,,
1,,,,,,,,,,,,,,,10,1650345345,1650345345,0.517674446,10,1650345345,1650345346,0.325735569,19788,,,
1,,,,,,,,,,,,,,,10,1650345347,1650345347,0.520832062,10,1650345347,1650345348,0.327085972,19788,,,
1,,,,,,,,,,,,,,,10,1650345349,1650345349,0.554516315,10,1650345349,1650345350,0.325345993,19788,,,
1,,,,,,,,,,,,,,,10,1650345351,1650345351,0.520651817,10,1650345351,1650345352,0.324496984,19788,,,
1,,,,,,,,,,,,,,,10,1650345353,1650345353,0.546812534,10,1650345353,1650345354,0.327592611,19788,,,
1,,,,,,,,,,,,,,,10,1650345355,1650345355,0.533778906,10,1650345355,1650345356,0.326592684,19788,,,
1,,,,,,,,,,,,,,,7,1650345357,1650345357,0.328771114,7,1650345357,1650345357,0.081473827,19788,,,
2,10.36641598,96,8.865553501,9.187209895,9.162976655,9.184496013,9.237728961,9.265121885,9.206132851,9.088234861,9.120298543,11.42856935,,9.260674105,10,1650345480,1650345481,0.707353115,10,1650345481,1650345482,0.420605898,25920,34.93739562,0.04796337,1.002449989
2,,,,,,,,,,,,,,,10,1650345483,1650345484,0.671998739,10,1650345484,1650345484,0.416467905,25920,,,
2,,,,,,,,,,,,,,,10,1650345485,1650345486,0.675690174,10,1650345486,1650345486,0.415655613,25920,,,
