|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__individual_fps__004,|__individual_fps__005,|__individual_fps__006,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,13.46898627,97,2.764621838,10.62465209,13.11267659,13.37070739,12.76985288,,7.201729814,20,1650346336,1650346341,4.496678829,20,1650346341,1650346344,2.73758173,19788,33.4979841,0.080116801,2.18555975
1,,,,,,,,,,20,1650346348,1650346349,1.151045322,20,1650346349,1650346349,0.731365681,19788,,,
1,,,,,,,,,,20,1650346352,1650346352,0.788345337,20,1650346352,1650346353,0.736893415,19788,,,
1,,,,,,,,,,20,1650346355,1650346356,0.758270979,20,1650346356,1650346357,0.737533808,19788,,,
1,,,,,,,,,,17,1650346359,1650346360,0.67575407,17,1650346360,1650346360,0.655504227,19788,,,
2,9.378022909,96,10.21220192,10.2564865,10.28747156,10.48726623,9.886252985,,10.23669924,20,1650346485,1650346486,1.024884939,20,1650346486,1650346487,0.933553457,25920,35.14364912,0.040535238,1.018033028
2,,,,,,,,,,20,1650346489,1650346490,1.017498016,20,1650346490,1650346491,0.932484388,25920,,,
2,,,,,,,,,,20,1650346494,1650346495,1.008364677,20,1650346495,1650346496,0.935744286,25920,,,
2,,,,,,,,,,20,1650346498,1650346499,0.975193739,20,1650346499,1650346500,0.93187809,25920,,,
2,,,,,,,,,,16,1650346503,1650346504,0.897595644,16,1650346504,1650346504,0.720810175,25920,,,
3,9.276144743,96,10.30407343,10.36095709,10.44370191,10.5266085,10.06375227,,10.349127,20,1650346662,1650346663,1.012867212,20,1650346663,1650346664,0.9281106,25920,33.14762857,0.042646889,1.278207898
3,,,,,,,,,,20,1650346667,1650346668,0.99934864,20,1650346668,1650346669,0.930972099,25920,,,
3,,,,,,,,,,20,1650346672,1650346673,0.981481314,20,1650346673,1650346674,0.933544874,25920,,,
3,,,,,,,,,,20,1650346677,1650346677,0.966283321,20,1650346677,1650346678,0.933660507,25920,,,
3,,,,,,,,,,16,1650346681,1650346682,0.863689184,16,1650346682,1650346683,0.726172447,25920,,,
4,9.650210619,101,10.53572171,10.44135033,10.34630092,10.37126384,10.49875615,14.28674978,10.46609281,20,1650346843,1650346844,0.962828636,20,1650346844,1650346844,0.935472727,27270,35.71415241,0.029569011,0.573311388
4,,,,,,,,,,20,1650346847,1650346848,0.98190403,20,1650346848,1650346849,0.933554173,27270,,,
4,,,,,,,,,,20,1650346852,1650346853,1.004444122,20,1650346853,1650346854,0.928610802,27270,,,
4,,,,,,,,,,20,1650346857,1650346858,0.997631073,20,1650346858,1650346859,0.930771112,27270,,,
4,,,,,,,,,,20,1650346862,1650346863,0.968443155,20,1650346863,1650346863,0.936541557,27270,,,
4,,,,,,,,,,1,1650346866,1650346866,0.069940805,1,1650346866,1650346866,4.08E-05,27270,,,
5,9.622312546,101,10.43950126,10.52186446,10.46274719,10.38823139,10.52341541,14.62301232,10.49643727,20,1650347034,1650347035,0.987519026,20,1650347035,1650347036,0.928278923,27270,37.18949514,0.02438953,1.241106629
5,,,,,,,,,,20,1650347038,1650347039,0.969208241,20,1650347039,1650347040,0.931592464,27270,,,
5,,,,,,,,,,20,1650347043,1650347044,0.974379063,20,1650347044,1650347045,0.937161684,27270,,,
5,,,,,,,,,,20,1650347047,1650347048,0.993799925,20,1650347048,1650347049,0.93145299,27270,,,
5,,,,,,,,,,20,1650347052,1650347053,0.970425367,20,1650347053,1650347054,0.930094957,27270,,,
5,,,,,,,,,,1,1650347057,1650347057,0.068347216,1,1650347057,1650347057,3.60E-05,27270,,,
6,2.558470011,97,36.27477927,38.46727194,38.40255486,39.29469541,37.16439798,,37.91328395,20,1650347225,1650347226,0.236927748,20,1650347226,1650347226,0.314417362,9894,33.57396637,0.086977869,2.272532463
6,,,,,,,,,,20,1650347227,1650347227,0.213925123,20,1650347227,1650347227,0.305994511,9894,,,
6,,,,,,,,,,20,1650347228,1650347228,0.217525482,20,1650347228,1650347228,0.303271055,9894,,,
6,,,,,,,,,,20,1650347229,1650347229,0.205774307,20,1650347229,1650347230,0.303197861,9894,,,
6,,,,,,,,,,17,1650347230,1650347230,0.188675165,17,1650347230,1650347231,0.268749237,9894,,,
7,2.935959816,96,31.71051622,32.61213692,33.32049547,33.12816527,32.7842961,,32.69799521,20,1650347260,1650347260,0.30015564,20,1650347260,1650347261,0.330547333,12960,35.19515998,0.058649469,0.907834649
7,,,,,,,,,,20,1650347262,1650347262,0.273140907,20,1650347262,1650347262,0.340125084,12960,,,
7,,,,,,,,,,20,1650347263,1650347263,0.271383286,20,1650347263,1650347264,0.328845263,12960,,,
7,,,,,,,,,,20,1650347264,1650347265,0.267098904,20,1650347265,1650347265,0.33661437,12960,,,
7,,,,,,,,,,16,1650347266,1650347266,0.232522249,16,1650347266,1650347266,0.255513668,12960,,,
8,2.04519701,96,44.65783441,46.91895992,47.9243595,47.94260107,47.53550277,,46.93924328,20,1650347304,1650347305,0.161859512,20,1650347305,1650347305,0.285987616,8640,31.88378173,0.075784616,1.22644794
8,,,,,,,,,,20,1650347306,1650347306,0.149620771,20,1650347306,1650347306,0.276643753,8640,,,
8,,,,,,,,,,20,1650347307,1650347307,0.144077301,20,1650347307,1650347307,0.273244381,8640,,,
8,,,,,,,,,,20,1650347308,1650347308,0.144263744,20,1650347308,1650347308,0.272899628,8640,,,
8,,,,,,,,,,16,1650347309,1650347309,0.124810696,16,1650347309,1650347309,0.211777449,8640,,,
9,1.912049294,101,51.9423598,52.52150045,53.32268821,52.33658947,52.59110931,114.921884,52.82290595,20,1650347327,1650347327,0.116027355,20,1650347327,1650347327,0.269011974,6868,32.57377744,0.062998407,0.231007129
9,,,,,,,,,,20,1650347328,1650347328,0.114608526,20,1650347328,1650347328,0.266185045,6868,,,
9,,,,,,,,,,20,1650347328,1650347329,0.11931181,20,1650347329,1650347329,0.25576067,6868,,,
9,,,,,,,,,,20,1650347329,1650347329,0.11808157,20,1650347329,1650347330,0.264057636,6868,,,
9,,,,,,,,,,20,1650347330,1650347330,0.11416173,20,1650347330,1650347330,0.26612854,6868,,,
9,,,,,,,,,,1,1650347331,1650347331,0.008663893,1,1650347331,1650347331,3.58E-05,6868,,,
