|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__individual_fps__004,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,12.94053507,97,3.658371693,13.73282157,14.21958318,15.70029256,7.49582606,30,1650347372,1650347378,6.237946272,30,1650347378,1650347380,1.962419987,19788,32.99155683,0.085232727,2.345492125
1,,,,,,,,30,1650347385,1650347386,1.036022425,30,1650347386,1650347387,1.148521662,19788,,,
1,,,,,,,,30,1650347390,1650347391,0.963895798,30,1650347391,1650347392,1.145867825,19788,,,
1,,,,,,,,7,1650347395,1650347396,0.365050077,7,1650347396,1650347396,0.080798149,19788,,,
2,8.793531656,96,10.83671235,11.01835515,10.96234904,10.60454415,10.91711542,30,1650347516,1650347517,1.306510448,30,1650347517,1650347518,1.461853504,25920,34.45110984,0.052248452,1.164718747
2,,,,,,,,30,1650347522,1650347524,1.266919374,30,1650347524,1650347525,1.455807447,25920,,,
2,,,,,,,,30,1650347529,1650347530,1.283200264,30,1650347530,1650347532,1.453435898,25920,,,
2,,,,,,,,6,1650347535,1650347536,0.461058855,6,1650347536,1650347536,0.10473156,25920,,,
3,8.781335592,96,11.09843524,10.77742681,10.91118151,11.00548004,10.93227778,30,1650347689,1650347690,1.246455908,30,1650347690,1650347691,1.456625223,25920,32.61100833,0.046370048,1.360936522
3,,,,,,,,30,1650347696,1650347697,1.299983263,30,1650347697,1650347698,1.483609915,25920,,,
3,,,,,,,,30,1650347703,1650347704,1.299895525,30,1650347704,1650347705,1.449574232,25920,,,
3,,,,,,,,6,1650347710,1650347710,0.440877438,6,1650347710,1650347710,0.104300976,25920,,,
4,9.399137974,101,11.01845357,10.99579923,11.01532351,8.982235798,10.74566628,30,1650347873,1650347874,1.274754763,30,1650347874,1650347876,1.447947502,27270,35.73182279,0.029216051,0.579209149
4,,,,,,,,30,1650347881,1650347882,1.279698372,30,1650347882,1650347883,1.448612928,27270,,,
4,,,,,,,,30,1650347888,1650347890,1.269842386,30,1650347890,1650347891,1.453633785,27270,,,
4,,,,,,,,11,1650347896,1650347897,0.703943729,11,1650347897,1650347897,0.520692825,27270,,,
5,9.362710714,101,11.09846755,10.97212983,11.13824094,8.928491132,10.78747417,30,1650348059,1650348060,1.255116224,30,1650348060,1650348061,1.447957039,27270,36.74652665,0.025594015,1.286280394
5,,,,,,,,30,1650348067,1650348068,1.28821969,30,1650348068,1650348069,1.445977926,27270,,,
5,,,,,,,,30,1650348075,1650348076,1.235898018,30,1650348076,1650348077,1.457517862,27270,,,
5,,,,,,,,11,1650348082,1650348083,0.715894461,11,1650348083,1650348084,0.516113758,27270,,,
6,2.474294424,97,38.65797545,38.23067572,38.95445427,48.80851552,39.20309526,30,1650348245,1650348246,0.303679943,30,1650348246,1650348246,0.472354174,9894,33.16418914,0.090686522,2.390092134
6,,,,,,,,30,1650348248,1650348248,0.307455301,30,1650348248,1650348249,0.477252007,9894,,,
6,,,,,,,,30,1650348250,1650348251,0.297576904,30,1650348251,1650348251,0.472551107,9894,,,
6,,,,,,,,7,1650348253,1650348253,0.106510639,7,1650348253,1650348253,0.036904573,9894,,,
7,2.889656544,96,33.33290595,33.03348947,33.19814946,33.74371173,33.22194127,30,1650348283,1650348284,0.380224943,30,1650348284,1650348284,0.519784689,12960,34.51586353,0.070957586,1.073214173
7,,,,,,,,30,1650348286,1650348287,0.38422513,30,1650348287,1650348287,0.523941278,12960,,,
7,,,,,,,,30,1650348290,1650348290,0.382259607,30,1650348290,1650348290,0.521403074,12960,,,
7,,,,,,,,6,1650348293,1650348293,0.13650918,6,1650348293,1650348293,0.041299105,12960,,,
8,2.015471935,96,45.96296053,48.4687422,47.31698806,54.64725068,47.63152407,30,1650348332,1650348332,0.209300756,30,1650348332,1650348333,0.44339633,8640,31.56627958,0.079743989,1.305997252
8,,,,,,,,30,1650348334,1650348334,0.191921949,30,1650348334,1650348335,0.427031279,8640,,,
8,,,,,,,,30,1650348336,1650348337,0.194347382,30,1650348337,1650348337,0.439671993,8640,,,
8,,,,,,,,6,1650348339,1650348339,0.077478886,6,1650348339,1650348339,0.032313347,8640,,,
9,1.950518847,101,53.32709491,52.03095829,52.28438617,46.29860203,51.78109413,30,1650348359,1650348359,0.144877434,30,1650348359,1650348359,0.417685986,6868,32.58005337,0.062741734,0.229125455
9,,,,,,,,30,1650348361,1650348361,0.158574104,30,1650348361,1650348361,0.418003082,6868,,,
9,,,,,,,,30,1650348363,1650348363,0.158005238,30,1650348363,1650348363,0.415777206,6868,,,
9,,,,,,,,11,1650348365,1650348365,0.087995052,11,1650348365,1650348365,0.149590254,6868,,,
