|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,15.42103863,97,4.160696721,13.80801361,,6.290108101,50,1650378344,1650378353,8.789563417,50,1650378353,1650378356,3.227650166,19788,33.17483091,0.084226325,2.308930635
1,,,,,,,47,1650378361,1650378363,1.510556698,47,1650378363,1650378365,1.893260479,19788,,,
2,8.922130585,96,10.75301214,10.76710804,,10.75976182,50,1650378483,1650378485,2.097270489,50,1650378485,1650378488,2.552586794,25920,35.04415571,0.041048363,1.046116829
2,,,,,,,46,1650378494,1650378496,1.93709898,46,1650378496,1650378498,2.335162878,25920,,,
3,8.722710371,96,11.17973596,10.82268185,,11.00575348,50,1650378650,1650378652,1.954359293,50,1650378652,1650378654,2.518015385,25920,32.75800666,0.043952871,1.358023405
3,,,,,,,46,1650378661,1650378663,1.940531492,46,1650378663,1650378665,2.309798956,25920,,,
4,9.037881613,101,11.22206913,11.10114004,12.76595019,11.17518511,50,1650378823,1650378825,1.935509682,50,1650378825,1650378827,2.519994497,27270,35.60577151,0.029233456,0.589668989
4,,,,,,,50,1650378834,1650378836,1.981167555,50,1650378836,1650378838,2.522871733,27270,,,
4,,,,,,,1,1650378845,1650378845,0.078237772,1,1650378845,1650378845,9.37E-05,27270,,,
5,9.579719543,101,10.8175332,10.24665682,12.82818693,10.54310615,50,1650379016,1650379018,2.094156265,50,1650379018,1650379020,2.527967215,27270,36.75082734,0.025335088,1.284592867
5,,,,,,,50,1650379027,1650379029,2.356986284,50,1650379029,1650379032,2.522652149,27270,,,
5,,,,,,,1,1650379039,1650379039,0.077893496,1,1650379039,1650379039,5.84E-05,27270,,,
6,2.226690054,97,43.3345022,43.80752557,,43.5624167,50,1650379201,1650379201,0.392573833,50,1650379201,1650379202,0.761238337,9894,33.33654129,0.090362988,2.368136168
6,,,,,,,47,1650379203,1650379204,0.343994617,47,1650379204,1650379205,0.728877544,9894,,,
7,2.6149652,96,37.06795848,36.3322916,,36.71176962,50,1650379233,1650379233,0.499978781,50,1650379233,1650379234,0.848892689,12960,35.1227788,0.059006393,0.919599295
7,,,,,,,46,1650379236,1650379236,0.48543787,46,1650379236,1650379237,0.780651093,12960,,,
8,1.793771267,96,52.49034493,54.68280129,,53.51852924,50,1650379273,1650379274,0.277175665,50,1650379274,1650379274,0.675378323,8640,31.75114715,0.076146536,1.28016746
8,,,,,,,46,1650379276,1650379276,0.228470087,46,1650379276,1650379276,0.612742901,8640,,,
9,1.684544802,101,58.67168758,60.70442129,115.1838304,59.95685,50,1650379293,1650379294,0.20126915,50,1650379294,1650379294,0.650928974,6868,32.56116475,0.061250493,0.228545055
9,,,,,,,50,1650379295,1650379295,0.183690786,50,1650379295,1650379296,0.639970064,6868,,,
9,,,,,,,1,1650379297,1650379297,0.008622408,1,1650379297,1650379297,5.75E-05,6868,,,
