|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,15.55001926,97,4.667582125,13.72710031,6.237934394,60,1650379335,1650379345,9.208092928,60,1650379345,1650379348,3.646525621,19788,33.22590692,0.083160557,2.308059692
1,,,,,,37,1650379354,1650379355,1.211306095,37,1650379355,1650379357,1.484088659,19788,,,
2,8.85659194,96,11.09993318,10.43129344,10.83938389,60,1650379486,1650379489,2.346040726,60,1650379489,1650379492,3.059393883,25920,34.9942928,0.041142914,1.057181835
2,,,,,,36,1650379499,1650379500,1.660364389,36,1650379500,1650379502,1.790786505,25920,,,
3,8.803176165,96,11.29560397,10.31112323,10.90515494,60,1650379649,1650379651,2.270082474,60,1650379651,1650379654,3.041713238,25920,32.78002256,0.044070523,1.342407107
3,,,,,,36,1650379662,1650379664,1.704953671,36,1650379664,1650379666,1.786418676,25920,,,
4,9.105619431,101,11.1836093,10.96073475,11.09205154,60,1650379813,1650379816,2.326396704,60,1650379816,1650379819,3.038594723,27270,35.61375466,0.029322542,0.591358244
4,,,,,,41,1650379826,1650379828,1.636989832,41,1650379828,1650379830,2.103631735,27270,,,
5,8.97324729,101,11.34850503,11.12254323,11.25567999,60,1650379987,1650379989,2.247944832,60,1650379989,1650379992,3.039092779,27270,36.61951454,0.026079487,1.302227139
5,,,,,,41,1650380000,1650380001,1.598892689,41,1650380001,1650380003,2.087311268,27270,,,
6,2.254915953,97,43.7019867,41.95103337,43.01712438,60,1650380157,1650380157,0.464790344,60,1650380157,1650380158,0.908142328,9894,33.40112868,0.088728853,2.351121664
6,,,,,,37,1650380160,1650380160,0.317890644,37,1650380160,1650380161,0.564087629,9894,,,
7,2.609871149,96,37.53850909,35.59026642,36.78342513,60,1650380189,1650380189,0.582193375,60,1650380189,1650380190,1.016163349,12960,35.08512605,0.058950465,0.926575184
7,,,,,,36,1650380193,1650380193,0.411445379,36,1650380193,1650380194,0.600064993,12960,,,
8,1.77969718,96,53.4206773,54.83319764,53.94176104,60,1650380229,1650380230,0.314855576,60,1650380230,1650380231,0.808302402,8640,31.78132506,0.07622157,1.27247417
8,,,,,,36,1650380232,1650380232,0.188905478,36,1650380232,1650380232,0.467628479,8640,,,
9,1.692835331,101,59.38159276,60.08019615,59.663216,60,1650380249,1650380249,0.234019041,60,1650380249,1650380250,0.776392937,6868,32.50125814,0.062218208,0.228881657
9,,,,,,41,1650380251,1650380251,0.154664278,41,1650380251,1650380252,0.527755022,6868,,,
