|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__individual_fps__004,|__individual_fps__005,|__individual_fps__006,|__individual_fps__007,|__individual_fps__008,|__individual_fps__009,|__individual_fps__010,|__individual_fps__011,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,11.79778385,101,6.891322164,8.947606113,8.717594318,8.823192586,8.703764344,8.829756776,8.930496222,8.592103376,8.720414541,8.563358749,14.49205137,8.560929855,10,1650425178,1650425179,0.986558437,10,1650425179,1650425179,0.464539289,27270,38.81493036,0.028963555,0.080934078
1,,,,,,,,,,,,,,,10,1650425181,1650425181,0.691366673,10,1650425181,1650425182,0.426247835,27270,,,
1,,,,,,,,,,,,,,,10,1650425183,1650425184,0.719877481,10,1650425184,1650425184,0.427225828,27270,,,
1,,,,,,,,,,,,,,,10,1650425186,1650425186,0.70661974,10,1650425186,1650425187,0.426753759,27270,,,
1,,,,,,,,,,,,,,,10,1650425188,1650425189,0.722606897,10,1650425189,1650425189,0.426318407,27270,,,
1,,,,,,,,,,,,,,,10,1650425191,1650425192,0.705626726,10,1650425192,1650425192,0.426905155,27270,,,
1,,,,,,,,,,,,,,,10,1650425194,1650425194,0.690987587,10,1650425194,1650425195,0.428768873,27270,,,
1,,,,,,,,,,,,,,,10,1650425196,1650425197,0.736056805,10,1650425197,1650425197,0.427800179,27270,,,
1,,,,,,,,,,,,,,,10,1650425199,1650425199,0.718792677,10,1650425199,1650425200,0.4279387,27270,,,
1,,,,,,,,,,,,,,,10,1650425201,1650425202,0.741869926,10,1650425202,1650425202,0.425893784,27270,,,
1,,,,,,,,,,,,,,,1,1650425204,1650425204,0.068973303,1,1650425204,1650425204,2.74E-05,27270,,,
vid2,3.201632023,90,26.48895805,24.78282038,28.55814948,28.97909635,29.06492428,28.85392059,28.90048316,29.24830879,28.83289544,,,28.11066336,10,1650425375,1650425375,0.20841074,10,1650425375,1650425375,0.169102907,14040,34.77312214,0.043521345,0.310115159
vid2,,,,,,,,,,,,,,,10,1650425376,1650425376,0.191750526,10,1650425376,1650425376,0.211752892,14040,,,
vid2,,,,,,,,,,,,,,,10,1650425376,1650425377,0.196743965,10,1650425377,1650425377,0.153416395,14040,,,
vid2,,,,,,,,,,,,,,,10,1650425377,1650425377,0.191512108,10,1650425377,1650425377,0.153561831,14040,,,
vid2,,,,,,,,,,,,,,,10,1650425378,1650425378,0.190150738,10,1650425378,1650425378,0.1539042,14040,,,
vid2,,,,,,,,,,,,,,,10,1650425379,1650425379,0.194232941,10,1650425379,1650425379,0.152338266,14040,,,
vid2,,,,,,,,,,,,,,,10,1650425379,1650425380,0.192691803,10,1650425380,1650425380,0.153320313,14040,,,
vid2,,,,,,,,,,,,,,,10,1650425380,1650425380,0.192873955,10,1650425380,1650425381,0.149023294,14040,,,
vid2,,,,,,,,,,,,,,,10,1650425381,1650425381,0.191346169,10,1650425381,1650425381,0.155477762,14040,,,
