|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__individual_fps__004,|__individual_fps__005,|__individual_fps__006,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,10.32495427,101,8.977354584,10.205853,9.834774169,9.847816016,10.00178965,13.63939203,9.782125649,20,1650425535,1650425536,1.261267662,20,1650425536,1650425537,0.966557741,27270,38.71068906,0.030091286,0.084161721
1,,,,,,,,,,20,1650425540,1650425541,1.011149645,20,1650425541,1650425542,0.948506832,27270,,,
1,,,,,,,,,,20,1650425545,1650425546,1.082811117,20,1650425546,1650425547,0.950786114,27270,,,
1,,,,,,,,,,20,1650425550,1650425551,1.081405878,20,1650425551,1650425552,0.949498415,27270,,,
1,,,,,,,,,,20,1650425554,1650425556,1.049888611,20,1650425556,1650425556,0.949750662,27270,,,
1,,,,,,,,,,1,1650425559,1650425559,0.073263645,1,1650425559,1650425559,5.10E-05,27270,,,
vid2,2.894122124,90,28.18504554,32.47145696,32.74708536,32.59078759,29.05383089,,31.09751287,20,1650425721,1650425721,0.296664,20,1650425721,1650425722,0.412929773,14040,34.83669822,0.043010667,0.316270649
vid2,,,,,,,,,,20,1650425722,1650425723,0.271360874,20,1650425723,1650425723,0.344561815,14040,,,
vid2,,,,,,,,,,20,1650425724,1650425724,0.265143871,20,1650425724,1650425724,0.345594645,14040,,,
vid2,,,,,,,,,,20,1650425725,1650425726,0.271147966,20,1650425726,1650425726,0.342520237,14040,,,
vid2,,,,,,,,,,10,1650425727,1650425727,0.190404177,10,1650425727,1650425727,0.153782129,14040,,,
